문의번호,접수일시,접수월,접수요일,접수시간대,지역,문의채널,문의유형,우선순위,처리상태,처리담당자,처리시간(분),고객만족도,SLA준수
INQ-20244979,2024-03-03 04:42,2024-03,일,04시,강원,이메일,반품/교환,보통,처리완료,박소연,33.0,4.0,Y
INQ-20243541,2024-03-03 06:32,2024-03,일,06시,경북,카카오톡,결제문의,높음,대기,최현우,,,미결
INQ-20240873,2024-03-03 06:35,2024-03,일,06시,서울,전화,반품/교환,낮음,처리중,박소연,,,미결
INQ-20241798,2024-03-03 06:39,2024-03,일,06시,충북,카카오톡,배송문의,보통,처리완료,윤지아,1.0,5.0,Y
INQ-20244009,2024-03-03 07:10,2024-03,일,07시,충남,전화,서비스불만,높음,처리완료,박소연,17.0,5.0,Y
INQ-20244128,2024-03-03 07:48,2024-03,일,07시,대구,전화,상품문의,낮음,처리중,이재원,,,미결
INQ-20243446,2024-03-03 07:53,2024-03,일,07시,경기,이메일,상품문의,보통,처리완료,한승호,6.0,4.0,Y
INQ-20244607,2024-03-03 07:59,2024-03,일,07시,울산,이메일,계정문의,보통,처리완료,장현석,1.0,4.0,Y
INQ-20244098,2024-03-03 08:59,2024-03,일,08시,대전,전화,상품문의,낮음,처리완료,김민지,5.0,5.0,Y
INQ-20241005,2024-03-03 09:08,2024-03,일,09시,경남,전화,결제문의,높음,처리완료,최현우,18.0,4.0,Y
INQ-20244646,2024-03-03 11:13,2024-03,일,11시,인천,이메일,계정문의,보통,처리완료,한승호,8.0,3.0,Y
INQ-20244955,2024-03-03 11:16,2024-03,일,11시,경기,채팅,서비스불만,높음,처리완료,김민지,63.0,4.0,N
INQ-20242260,2024-03-03 13:00,2024-03,일,13시,전북,이메일,계정문의,보통,처리완료,박소연,24.0,3.0,Y
INQ-20243746,2024-03-03 13:27,2024-03,일,13시,인천,전화,반품/교환,보통,처리완료,박소연,34.0,5.0,Y
INQ-20240670,2024-03-03 20:42,2024-03,일,20시,서울,전화,배송문의,낮음,재문의,정다은,,,미결
INQ-20241075,2024-03-03 21:47,2024-03,일,21시,경기,전화,배송문의,보통,처리중,최현우,,,미결
INQ-20244548,2024-03-03 22:06,2024-03,일,22시,대전,이메일,서비스불만,높음,처리완료,최현우,72.0,2.0,N
INQ-20243464,2024-03-03 23:08,2024-03,일,23시,부산,채팅,상품문의,보통,재문의,김민지,,,미결
INQ-20242398,2024-03-04 02:59,2024-03,월,02시,경기,전화,반품/교환,높음,처리중,한승호,,,미결
INQ-20243248,2024-03-04 07:20,2024-03,월,07시,경기,이메일,반품/교환,보통,처리완료,윤지아,34.0,4.0,Y
INQ-20243119,2024-03-04 07:51,2024-03,월,07시,부산,이메일,기타,낮음,처리완료,이재원,10.0,3.0,Y
INQ-20244203,2024-03-04 09:25,2024-03,월,09시,경남,이메일,반품/교환,보통,처리완료,윤지아,38.0,5.0,Y
INQ-20244918,2024-03-04 14:35,2024-03,월,14시,서울,이메일,반품/교환,낮음,처리완료,윤지아,31.0,3.0,Y
INQ-20242382,2024-03-04 17:00,2024-03,월,17시,경기,전화,계정문의,보통,처리중,박소연,,,미결
INQ-20242868,2024-03-04 17:33,2024-03,월,17시,경기,전화,결제문의,보통,처리중,김민지,,,미결
INQ-20240726,2024-03-04 18:45,2024-03,월,18시,서울,전화,계정문의,낮음,처리완료,정다은,28.0,4.0,Y
INQ-20241148,2024-03-04 19:00,2024-03,월,19시,충남,전화,상품문의,낮음,처리완료,박소연,8.0,4.0,Y
INQ-20244599,2024-03-04 21:41,2024-03,월,21시,대구,이메일,배송문의,보통,처리완료,윤지아,39.0,4.0,N
INQ-20241985,2024-03-05 02:31,2024-03,화,02시,제주,전화,서비스불만,높음,처리완료,이재원,32.0,5.0,Y
INQ-20240842,2024-03-05 03:53,2024-03,화,03시,경기,전화,계정문의,보통,처리중,장현석,,,미결
INQ-20240709,2024-03-05 05:08,2024-03,화,05시,경기,이메일,상품문의,낮음,재문의,정다은,,,미결
INQ-20243906,2024-03-05 06:01,2024-03,화,06시,광주,카카오톡,배송문의,보통,처리중,박소연,,,미결
INQ-20244738,2024-03-05 06:01,2024-03,화,06시,경기,전화,배송문의,보통,처리완료,최현우,19.0,4.0,Y
INQ-20243601,2024-03-05 10:03,2024-03,화,10시,경기,채팅,배송문의,낮음,처리완료,윤지아,10.0,4.0,Y
INQ-20241349,2024-03-05 11:12,2024-03,화,11시,충북,전화,서비스불만,낮음,처리완료,김민지,48.0,3.0,Y
INQ-20243599,2024-03-05 13:01,2024-03,화,13시,전북,전화,배송문의,보통,대기,최현우,,,미결
INQ-20243363,2024-03-05 15:10,2024-03,화,15시,부산,채팅,상품문의,보통,처리완료,김민지,9.0,3.0,Y
INQ-20243963,2024-03-05 15:30,2024-03,화,15시,서울,전화,배송문의,보통,처리완료,최현우,21.0,5.0,N
INQ-20243236,2024-03-05 15:32,2024-03,화,15시,경기,전화,배송문의,보통,대기,정다은,,,미결
INQ-20244337,2024-03-05 16:59,2024-03,화,16시,경북,이메일,상품문의,보통,처리완료,최현우,12.0,3.0,Y
INQ-20243213,2024-03-05 17:37,2024-03,화,17시,서울,전화,배송문의,보통,처리중,윤지아,,,미결
INQ-20244042,2024-03-05 17:57,2024-03,화,17시,부산,카카오톡,반품/교환,높음,처리완료,한승호,11.0,4.0,Y
INQ-20243382,2024-03-05 20:00,2024-03,화,20시,부산,전화,반품/교환,낮음,처리완료,김민지,52.0,5.0,Y
INQ-20243057,2024-03-05 23:10,2024-03,화,23시,서울,이메일,배송문의,보통,처리완료,박소연,17.0,5.0,Y
INQ-20241489,2024-03-05 23:20,2024-03,화,23시,부산,앱,계정문의,높음,처리중,이재원,,,미결
INQ-20244847,2024-03-05 23:24,2024-03,화,23시,인천,이메일,상품문의,보통,처리완료,장현석,2.0,4.0,Y
INQ-20243151,2024-03-05 23:38,2024-03,화,23시,제주,전화,반품/교환,보통,처리중,박소연,,,미결
INQ-20242538,2024-03-06 04:51,2024-03,수,04시,경기,이메일,배송문의,보통,대기,김민지,,,미결
INQ-20244225,2024-03-06 04:51,2024-03,수,04시,전북,카카오톡,배송문의,높음,처리완료,박소연,10.0,5.0,Y
INQ-20240370,2024-03-06 10:10,2024-03,수,10시,경기,채팅,배송문의,낮음,처리완료,박소연,1.0,4.0,Y
INQ-20243657,2024-03-06 10:20,2024-03,수,10시,경기,카카오톡,반품/교환,보통,처리완료,한승호,57.0,4.0,Y
INQ-20242078,2024-03-06 11:04,2024-03,수,11시,경남,이메일,결제문의,보통,처리완료,이재원,13.0,4.0,Y
INQ-20243378,2024-03-06 11:32,2024-03,수,11시,서울,카카오톡,배송문의,높음,처리완료,최현우,14.0,4.0,Y
INQ-20244156,2024-03-06 13:12,2024-03,수,13시,대구,앱,계정문의,낮음,처리완료,정다은,39.0,3.0,Y
INQ-20241171,2024-03-06 15:04,2024-03,수,15시,경기,채팅,계정문의,보통,처리중,장현석,,,미결
INQ-20242564,2024-03-06 16:06,2024-03,수,16시,경기,채팅,기타,보통,처리완료,장현석,13.0,5.0,Y
INQ-20242528,2024-03-06 18:27,2024-03,수,18시,충남,전화,배송문의,보통,처리완료,윤지아,9.0,3.0,Y
INQ-20242762,2024-03-06 21:32,2024-03,수,21시,경기,전화,배송문의,높음,처리중,이재원,,,미결
INQ-20240488,2024-03-06 23:18,2024-03,수,23시,부산,채팅,배송문의,낮음,처리중,최현우,,,미결
INQ-20240697,2024-03-07 01:00,2024-03,목,01시,서울,전화,상품문의,낮음,대기,이재원,,,미결
INQ-20242223,2024-03-07 01:57,2024-03,목,01시,경남,이메일,상품문의,보통,처리중,최현우,,,미결
INQ-20244115,2024-03-07 02:18,2024-03,목,02시,울산,전화,상품문의,낮음,처리중,한승호,,,미결
INQ-20240419,2024-03-07 02:21,2024-03,목,02시,충북,전화,결제문의,보통,처리완료,한승호,29.0,5.0,Y
INQ-20240180,2024-03-07 03:02,2024-03,목,03시,경기,채팅,결제문의,보통,처리완료,김민지,25.0,5.0,Y
INQ-20242320,2024-03-07 03:02,2024-03,목,03시,서울,전화,결제문의,낮음,재문의,김민지,,,미결
INQ-20240904,2024-03-07 03:13,2024-03,목,03시,부산,이메일,계정문의,보통,대기,이재원,,,미결
INQ-20240124,2024-03-07 04:29,2024-03,목,04시,서울,이메일,배송문의,낮음,처리완료,장현석,16.0,5.0,Y
INQ-20243442,2024-03-07 05:45,2024-03,목,05시,경기,채팅,상품문의,보통,처리완료,최현우,14.0,5.0,Y
INQ-20241546,2024-03-07 07:40,2024-03,목,07시,경남,전화,배송문의,보통,처리완료,김민지,28.0,5.0,N
INQ-20243042,2024-03-07 07:42,2024-03,목,07시,경기,전화,배송문의,보통,처리완료,윤지아,27.0,5.0,N
INQ-20242906,2024-03-07 09:02,2024-03,목,09시,경기,카카오톡,배송문의,낮음,처리완료,이재원,16.0,4.0,Y
INQ-20240783,2024-03-07 09:31,2024-03,목,09시,광주,이메일,계정문의,낮음,처리완료,정다은,30.0,4.0,Y
INQ-20242831,2024-03-07 10:21,2024-03,목,10시,충북,전화,반품/교환,낮음,처리중,정다은,,,미결
INQ-20242750,2024-03-07 13:55,2024-03,목,13시,경남,전화,반품/교환,낮음,대기,정다은,,,미결
INQ-20241751,2024-03-07 14:31,2024-03,목,14시,경남,채팅,반품/교환,보통,처리완료,윤지아,30.0,4.0,Y
INQ-20241917,2024-03-07 15:07,2024-03,목,15시,경기,채팅,기타,보통,처리완료,이재원,1.0,3.0,Y
INQ-20243227,2024-03-07 17:48,2024-03,목,17시,경북,전화,배송문의,보통,처리완료,이재원,11.0,4.0,Y
INQ-20241932,2024-03-07 18:26,2024-03,목,18시,서울,채팅,결제문의,낮음,재문의,이재원,,,미결
INQ-20244480,2024-03-07 20:45,2024-03,목,20시,제주,카카오톡,반품/교환,보통,처리중,박소연,,,미결
INQ-20242525,2024-03-07 21:00,2024-03,목,21시,인천,채팅,반품/교환,보통,재문의,장현석,,,미결
INQ-20243940,2024-03-07 21:53,2024-03,목,21시,부산,채팅,배송문의,낮음,재문의,김민지,,,미결
INQ-20242106,2024-03-07 22:39,2024-03,목,22시,제주,채팅,배송문의,보통,처리완료,한승호,6.0,4.0,Y
INQ-20244113,2024-03-08 01:09,2024-03,금,01시,경남,채팅,상품문의,낮음,처리완료,김민지,10.0,3.0,Y
INQ-20244335,2024-03-08 01:20,2024-03,금,01시,경기,전화,결제문의,낮음,처리완료,윤지아,15.0,5.0,Y
INQ-20241812,2024-03-08 01:34,2024-03,금,01시,경기,전화,계정문의,높음,처리완료,이재원,22.0,5.0,Y
INQ-20242508,2024-03-08 02:29,2024-03,금,02시,대구,카카오톡,결제문의,보통,처리완료,윤지아,1.0,5.0,Y
INQ-20242533,2024-03-08 03:29,2024-03,금,03시,서울,채팅,반품/교환,높음,처리완료,한승호,1.0,4.0,Y
INQ-20240195,2024-03-08 03:48,2024-03,금,03시,경기,카카오톡,배송문의,보통,처리완료,김민지,9.0,4.0,Y
INQ-20240893,2024-03-08 08:04,2024-03,금,08시,경기,채팅,결제문의,보통,처리완료,장현석,4.0,4.0,Y
INQ-20241891,2024-03-08 09:40,2024-03,금,09시,경기,전화,상품문의,낮음,처리중,장현석,,,미결
INQ-20241946,2024-03-08 13:33,2024-03,금,13시,경기,채팅,결제문의,낮음,처리중,박소연,,,미결
INQ-20241129,2024-03-08 14:09,2024-03,금,14시,부산,채팅,서비스불만,보통,처리완료,이재원,59.0,4.0,Y
INQ-20240292,2024-03-08 16:55,2024-03,금,16시,충남,이메일,계정문의,보통,처리완료,김민지,35.0,4.0,Y
INQ-20242243,2024-03-08 17:07,2024-03,금,17시,서울,전화,반품/교환,보통,처리중,최현우,,,미결
INQ-20243864,2024-03-08 17:48,2024-03,금,17시,경남,카카오톡,결제문의,낮음,처리중,박소연,,,미결
INQ-20244435,2024-03-08 23:24,2024-03,금,23시,서울,전화,계정문의,높음,처리완료,정다은,13.0,4.0,Y
INQ-20240592,2024-03-09 02:27,2024-03,토,02시,부산,이메일,상품문의,보통,처리완료,박소연,1.0,5.0,Y
INQ-20240321,2024-03-09 03:24,2024-03,토,03시,경기,채팅,상품문의,높음,대기,윤지아,,,미결
INQ-20241281,2024-03-09 07:22,2024-03,토,07시,경남,앱,배송문의,보통,처리완료,박소연,2.0,5.0,Y
INQ-20244432,2024-03-09 10:51,2024-03,토,10시,충남,채팅,결제문의,보통,처리완료,윤지아,18.0,4.0,Y
INQ-20244968,2024-03-09 17:47,2024-03,토,17시,경북,채팅,배송문의,보통,처리중,김민지,,,미결
INQ-20243358,2024-03-09 18:38,2024-03,토,18시,대전,채팅,계정문의,낮음,처리중,이재원,,,미결
INQ-20240631,2024-03-09 19:04,2024-03,토,19시,충북,이메일,기타,보통,처리완료,정다은,6.0,5.0,Y
INQ-20241741,2024-03-09 20:15,2024-03,토,20시,대전,이메일,배송문의,낮음,처리완료,김민지,6.0,4.0,Y
INQ-20242722,2024-03-10 00:53,2024-03,일,00시,서울,전화,배송문의,낮음,처리완료,한승호,18.0,5.0,Y
INQ-20244494,2024-03-10 02:39,2024-03,일,02시,서울,이메일,상품문의,낮음,재문의,최현우,,,미결
INQ-20242311,2024-03-10 02:40,2024-03,일,02시,충남,이메일,상품문의,낮음,처리중,한승호,,,미결
INQ-20244853,2024-03-10 05:30,2024-03,일,05시,경남,이메일,반품/교환,낮음,처리완료,장현석,32.0,3.0,Y
INQ-20242777,2024-03-10 08:01,2024-03,일,08시,인천,앱,결제문의,보통,처리완료,이재원,24.0,4.0,Y
INQ-20242628,2024-03-10 12:45,2024-03,일,12시,서울,채팅,반품/교환,보통,처리완료,박소연,11.0,5.0,Y
INQ-20242027,2024-03-10 15:59,2024-03,일,15시,인천,앱,상품문의,높음,처리완료,최현우,3.0,4.0,Y
INQ-20240368,2024-03-10 16:27,2024-03,일,16시,서울,전화,반품/교환,보통,처리완료,장현석,57.0,4.0,Y
INQ-20244313,2024-03-10 18:10,2024-03,일,18시,경기,채팅,배송문의,보통,대기,이재원,,,미결
INQ-20240267,2024-03-10 19:58,2024-03,일,19시,경기,전화,배송문의,보통,처리완료,정다은,15.0,4.0,Y
INQ-20241742,2024-03-10 21:48,2024-03,일,21시,경기,전화,기타,높음,처리완료,윤지아,14.0,5.0,Y
INQ-20244597,2024-03-10 22:24,2024-03,일,22시,울산,이메일,배송문의,보통,처리중,한승호,,,미결
INQ-20243190,2024-03-10 23:19,2024-03,일,23시,서울,전화,상품문의,보통,처리완료,김민지,5.0,5.0,Y
INQ-20244465,2024-03-11 03:01,2024-03,월,03시,경남,전화,배송문의,낮음,재문의,이재원,,,미결
INQ-20241566,2024-03-11 03:39,2024-03,월,03시,충남,이메일,반품/교환,보통,재문의,한승호,,,미결
INQ-20244356,2024-03-11 04:32,2024-03,월,04시,경남,카카오톡,반품/교환,보통,처리완료,박소연,23.0,3.0,Y
INQ-20243544,2024-03-11 05:21,2024-03,월,05시,경기,이메일,상품문의,낮음,처리완료,박소연,8.0,4.0,Y
INQ-20242119,2024-03-11 06:27,2024-03,월,06시,강원,전화,배송문의,높음,처리중,김민지,,,미결
INQ-20243678,2024-03-11 07:00,2024-03,월,07시,제주,전화,기타,보통,처리중,최현우,,,미결
INQ-20244234,2024-03-11 07:23,2024-03,월,07시,경기,채팅,배송문의,보통,처리완료,윤지아,25.0,4.0,N
INQ-20242767,2024-03-11 08:50,2024-03,월,08시,대전,이메일,배송문의,보통,처리완료,한승호,12.0,4.0,Y
INQ-20244763,2024-03-11 10:05,2024-03,월,10시,충북,채팅,배송문의,보통,처리중,최현우,,,미결
INQ-20240306,2024-03-11 12:12,2024-03,월,12시,경기,이메일,배송문의,보통,처리완료,한승호,15.0,3.0,Y
INQ-20242618,2024-03-11 13:02,2024-03,월,13시,충남,전화,결제문의,높음,처리완료,최현우,17.0,3.0,Y
INQ-20243112,2024-03-11 13:10,2024-03,월,13시,부산,채팅,반품/교환,보통,처리완료,윤지아,53.0,3.0,Y
INQ-20242615,2024-03-11 16:04,2024-03,월,16시,서울,채팅,결제문의,보통,처리완료,김민지,11.0,4.0,Y
INQ-20240158,2024-03-11 16:35,2024-03,월,16시,대전,채팅,반품/교환,높음,처리완료,한승호,31.0,5.0,Y
INQ-20241885,2024-03-11 16:59,2024-03,월,16시,서울,앱,배송문의,보통,처리완료,최현우,11.0,3.0,Y
INQ-20242256,2024-03-12 03:08,2024-03,화,03시,인천,전화,반품/교환,높음,처리완료,한승호,42.0,4.0,Y
INQ-20243185,2024-03-12 05:45,2024-03,화,05시,서울,전화,상품문의,보통,처리완료,정다은,6.0,4.0,Y
INQ-20241279,2024-03-12 06:50,2024-03,화,06시,서울,전화,서비스불만,보통,처리완료,박소연,50.0,2.0,Y
INQ-20242268,2024-03-12 07:41,2024-03,화,07시,전북,카카오톡,상품문의,높음,처리완료,김민지,8.0,4.0,Y
INQ-20242064,2024-03-12 09:07,2024-03,화,09시,경기,앱,결제문의,높음,처리중,박소연,,,미결
INQ-20240805,2024-03-12 18:47,2024-03,화,18시,부산,전화,반품/교환,낮음,처리완료,이재원,44.0,5.0,Y
INQ-20240451,2024-03-12 21:28,2024-03,화,21시,경기,앱,배송문의,보통,처리완료,한승호,17.0,4.0,Y
INQ-20244769,2024-03-12 21:33,2024-03,화,21시,경기,전화,배송문의,보통,대기,김민지,,,미결
INQ-20240769,2024-03-12 22:30,2024-03,화,22시,경남,전화,결제문의,보통,처리완료,최현우,15.0,4.0,Y
INQ-20243604,2024-03-12 22:34,2024-03,화,22시,서울,전화,서비스불만,보통,대기,한승호,,,미결
INQ-20244729,2024-03-13 06:26,2024-03,수,06시,부산,이메일,계정문의,보통,처리완료,윤지아,44.0,4.0,N
INQ-20241011,2024-03-13 06:40,2024-03,수,06시,서울,전화,반품/교환,보통,처리완료,이재원,22.0,5.0,Y
INQ-20244160,2024-03-13 10:52,2024-03,수,10시,경기,채팅,상품문의,보통,처리중,최현우,,,미결
INQ-20243901,2024-03-13 12:08,2024-03,수,12시,경기,채팅,기타,보통,처리완료,박소연,13.0,4.0,Y
INQ-20240197,2024-03-13 12:36,2024-03,수,12시,충북,카카오톡,결제문의,높음,처리중,정다은,,,미결
INQ-20243284,2024-03-13 14:47,2024-03,수,14시,경기,이메일,서비스불만,낮음,처리완료,김민지,39.0,2.0,Y
INQ-20242733,2024-03-13 14:56,2024-03,수,14시,경기,채팅,배송문의,높음,처리완료,윤지아,20.0,3.0,Y
INQ-20243842,2024-03-13 18:31,2024-03,수,18시,전남,이메일,상품문의,보통,처리완료,박소연,7.0,5.0,Y
INQ-20244586,2024-03-13 19:55,2024-03,수,19시,제주,전화,반품/교환,높음,처리완료,최현우,33.0,5.0,Y
INQ-20242732,2024-03-13 23:00,2024-03,수,23시,부산,전화,계정문의,높음,처리완료,윤지아,26.0,5.0,Y
INQ-20242414,2024-03-13 23:54,2024-03,수,23시,서울,앱,기타,보통,처리완료,윤지아,1.0,3.0,Y
INQ-20242583,2024-03-13 23:54,2024-03,수,23시,경기,전화,배송문의,보통,처리완료,김민지,17.0,3.0,Y
INQ-20240890,2024-03-14 05:37,2024-03,목,05시,서울,채팅,배송문의,낮음,처리완료,한승호,15.0,3.0,Y
INQ-20244990,2024-03-14 08:05,2024-03,목,08시,경기,카카오톡,배송문의,보통,처리중,윤지아,,,미결
INQ-20240447,2024-03-14 08:11,2024-03,목,08시,충남,카카오톡,결제문의,보통,처리완료,한승호,28.0,3.0,Y
INQ-20241556,2024-03-14 08:15,2024-03,목,08시,경기,전화,반품/교환,보통,처리완료,김민지,51.0,5.0,Y
INQ-20243702,2024-03-14 09:17,2024-03,목,09시,경북,채팅,배송문의,보통,대기,정다은,,,미결
INQ-20244531,2024-03-14 11:57,2024-03,목,11시,경북,이메일,반품/교환,보통,처리중,김민지,,,미결
INQ-20242629,2024-03-14 12:30,2024-03,목,12시,부산,카카오톡,계정문의,높음,처리완료,박소연,21.0,4.0,Y
INQ-20241147,2024-03-14 12:35,2024-03,목,12시,서울,채팅,반품/교환,높음,처리완료,김민지,13.0,5.0,Y
INQ-20240373,2024-03-14 12:45,2024-03,목,12시,경기,전화,배송문의,보통,처리중,윤지아,,,미결
INQ-20244993,2024-03-14 15:49,2024-03,목,15시,부산,채팅,상품문의,보통,처리완료,한승호,16.0,3.0,N
INQ-20241138,2024-03-14 18:46,2024-03,목,18시,서울,전화,배송문의,보통,재문의,김민지,,,미결
INQ-20242829,2024-03-14 20:56,2024-03,목,20시,대전,이메일,배송문의,보통,처리완료,윤지아,10.0,3.0,Y
INQ-20240434,2024-03-15 02:36,2024-03,금,02시,광주,전화,기타,보통,처리완료,정다은,7.0,3.0,Y
INQ-20241961,2024-03-15 03:04,2024-03,금,03시,서울,전화,배송문의,보통,처리완료,윤지아,7.0,3.0,Y
INQ-20241366,2024-03-15 03:25,2024-03,금,03시,경북,전화,계정문의,보통,처리중,박소연,,,미결
INQ-20241206,2024-03-15 04:00,2024-03,금,04시,서울,이메일,배송문의,낮음,처리완료,윤지아,13.0,4.0,Y
INQ-20241572,2024-03-15 05:10,2024-03,금,05시,인천,채팅,반품/교환,높음,처리중,박소연,,,미결
INQ-20244263,2024-03-15 05:19,2024-03,금,05시,서울,채팅,배송문의,보통,재문의,박소연,,,미결
INQ-20243082,2024-03-15 05:36,2024-03,금,05시,광주,전화,배송문의,보통,처리완료,이재원,18.0,4.0,Y
INQ-20242270,2024-03-15 09:44,2024-03,금,09시,전남,전화,반품/교환,높음,처리완료,김민지,68.0,4.0,N
INQ-20242838,2024-03-15 11:08,2024-03,금,11시,경기,전화,배송문의,보통,처리중,한승호,,,미결
INQ-20243257,2024-03-15 11:43,2024-03,금,11시,서울,채팅,서비스불만,높음,처리완료,한승호,35.0,3.0,Y
INQ-20241106,2024-03-15 12:19,2024-03,금,12시,강원,채팅,계정문의,보통,대기,정다은,,,미결
INQ-20240974,2024-03-15 13:16,2024-03,금,13시,충북,카카오톡,배송문의,보통,처리완료,최현우,7.0,5.0,Y
INQ-20240405,2024-03-15 13:57,2024-03,금,13시,서울,카카오톡,배송문의,낮음,처리완료,최현우,8.0,3.0,Y
INQ-20241167,2024-03-15 14:40,2024-03,금,14시,대전,채팅,기타,낮음,처리완료,윤지아,17.0,4.0,Y
INQ-20240626,2024-03-15 20:21,2024-03,금,20시,서울,전화,배송문의,높음,처리완료,이재원,16.0,3.0,Y
INQ-20244669,2024-03-15 21:54,2024-03,금,21시,제주,이메일,서비스불만,높음,처리완료,정다은,40.0,4.0,Y
INQ-20244386,2024-03-15 23:30,2024-03,금,23시,충북,채팅,기타,보통,대기,윤지아,,,미결
INQ-20243531,2024-03-16 00:47,2024-03,토,00시,경남,카카오톡,상품문의,낮음,처리완료,정다은,9.0,3.0,Y
INQ-20243340,2024-03-16 03:56,2024-03,토,03시,부산,이메일,결제문의,보통,처리중,최현우,,,미결
INQ-20244028,2024-03-16 05:03,2024-03,토,05시,부산,이메일,배송문의,높음,처리완료,김민지,12.0,4.0,Y
INQ-20240046,2024-03-16 05:26,2024-03,토,05시,충북,이메일,결제문의,낮음,대기,박소연,,,미결
INQ-20241099,2024-03-16 05:26,2024-03,토,05시,경남,이메일,반품/교환,높음,처리완료,윤지아,43.0,5.0,Y
INQ-20243341,2024-03-16 06:05,2024-03,토,06시,서울,이메일,배송문의,보통,처리완료,윤지아,17.0,4.0,Y
INQ-20242889,2024-03-16 07:03,2024-03,토,07시,경기,카카오톡,배송문의,보통,처리완료,이재원,13.0,5.0,Y
INQ-20242132,2024-03-16 08:04,2024-03,토,08시,강원,전화,상품문의,보통,대기,최현우,,,미결
INQ-20243884,2024-03-16 13:39,2024-03,토,13시,전남,전화,계정문의,보통,처리완료,윤지아,17.0,4.0,Y
INQ-20240040,2024-03-16 19:18,2024-03,토,19시,경기,카카오톡,배송문의,높음,처리완료,박소연,20.0,4.0,Y
INQ-20242336,2024-03-16 20:31,2024-03,토,20시,인천,전화,반품/교환,높음,재문의,정다은,,,미결
INQ-20241310,2024-03-16 23:14,2024-03,토,23시,대구,전화,배송문의,높음,재문의,이재원,,,미결
INQ-20243389,2024-03-16 23:50,2024-03,토,23시,부산,이메일,반품/교환,낮음,처리완료,장현석,12.0,4.0,Y
INQ-20242607,2024-03-17 02:12,2024-03,일,02시,경기,채팅,배송문의,보통,처리완료,김민지,17.0,4.0,Y
INQ-20243965,2024-03-17 03:55,2024-03,일,03시,강원,전화,반품/교환,낮음,처리완료,한승호,3.0,4.0,Y
INQ-20240973,2024-03-17 05:00,2024-03,일,05시,제주,채팅,서비스불만,보통,처리완료,이재원,63.0,2.0,N
INQ-20244661,2024-03-17 05:12,2024-03,일,05시,경기,채팅,반품/교환,보통,처리완료,김민지,1.0,5.0,Y
INQ-20243083,2024-03-17 08:17,2024-03,일,08시,서울,전화,반품/교환,보통,재문의,김민지,,,미결
INQ-20244864,2024-03-17 08:49,2024-03,일,08시,대전,이메일,배송문의,높음,처리완료,정다은,7.0,4.0,Y
INQ-20242000,2024-03-17 12:58,2024-03,일,12시,대전,이메일,계정문의,보통,처리완료,한승호,60.0,5.0,N
INQ-20241555,2024-03-17 13:14,2024-03,일,13시,경기,채팅,계정문의,보통,처리완료,한승호,1.0,4.0,Y
INQ-20243606,2024-03-17 13:44,2024-03,일,13시,서울,카카오톡,상품문의,보통,재문의,이재원,,,미결
INQ-20242691,2024-03-17 16:42,2024-03,일,16시,경남,전화,상품문의,보통,처리완료,한승호,20.0,5.0,N
INQ-20243973,2024-03-17 18:29,2024-03,일,18시,경기,이메일,상품문의,낮음,처리중,장현석,,,미결
INQ-20242893,2024-03-17 21:11,2024-03,일,21시,충북,전화,상품문의,낮음,처리완료,장현석,9.0,4.0,Y
INQ-20244071,2024-03-17 22:27,2024-03,일,22시,인천,전화,배송문의,높음,처리완료,박소연,13.0,3.0,Y
INQ-20244595,2024-03-17 22:43,2024-03,일,22시,서울,카카오톡,기타,높음,처리완료,최현우,13.0,4.0,Y
INQ-20244273,2024-03-18 03:58,2024-03,월,03시,전북,카카오톡,계정문의,보통,처리중,윤지아,,,미결
INQ-20244421,2024-03-18 05:08,2024-03,월,05시,광주,이메일,배송문의,보통,처리중,윤지아,,,미결
INQ-20240082,2024-03-18 05:25,2024-03,월,05시,경기,이메일,반품/교환,보통,대기,박소연,,,미결
INQ-20244767,2024-03-18 09:09,2024-03,월,09시,대구,전화,상품문의,낮음,처리완료,박소연,1.0,4.0,Y
INQ-20241811,2024-03-18 10:33,2024-03,월,10시,서울,채팅,배송문의,낮음,처리완료,이재원,7.0,3.0,Y
INQ-20242647,2024-03-18 13:14,2024-03,월,13시,경북,채팅,반품/교환,높음,대기,장현석,,,미결
INQ-20244615,2024-03-18 14:14,2024-03,월,14시,서울,채팅,결제문의,보통,처리완료,박소연,1.0,5.0,Y
INQ-20244032,2024-03-18 15:50,2024-03,월,15시,서울,이메일,상품문의,높음,처리완료,한승호,10.0,4.0,Y
INQ-20244533,2024-03-18 16:11,2024-03,월,16시,경북,전화,상품문의,높음,처리완료,장현석,12.0,5.0,Y
INQ-20244346,2024-03-18 18:04,2024-03,월,18시,경기,전화,결제문의,보통,처리완료,최현우,15.0,5.0,Y
INQ-20240485,2024-03-18 18:05,2024-03,월,18시,경기,이메일,결제문의,낮음,처리중,최현우,,,미결
INQ-20242904,2024-03-18 18:32,2024-03,월,18시,서울,이메일,반품/교환,낮음,처리중,윤지아,,,미결
INQ-20241901,2024-03-18 19:13,2024-03,월,19시,서울,이메일,배송문의,보통,처리완료,이재원,9.0,5.0,Y
INQ-20241247,2024-03-18 19:24,2024-03,월,19시,부산,이메일,계정문의,높음,대기,박소연,,,미결
INQ-20240017,2024-03-18 20:39,2024-03,월,20시,경기,카카오톡,반품/교환,보통,처리완료,박소연,38.0,2.0,Y
